Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	Univ Of Prince Edward Island
Institution_ID	cabi:59221
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version; Include_Parent_Details=True
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2022-04-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:38:48Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Abnormal and repetitive behaviours in cats and dogs.	CABI		CABI Digital Library	Sagi Denenberg; 	2021-01-07		10.1079/9781786394552.0015						Small animal veterinary psychiatry				Book	10.1079/9781786394552.0000		978-1-78639-456-9														Book_Segment	2021	Controlled	Regular	Unique_Item_Investigations	1	1	0
Abnormal and repetitive behaviours in cats and dogs.	CABI		CABI Digital Library	Sagi Denenberg; 	2021-01-07		10.1079/9781786394552.0015						Small animal veterinary psychiatry				Book	10.1079/9781786394552.0000		978-1-78639-456-9														Book_Segment	2021	Controlled	Regular	Total_Item_Requests	1	1	0
Abnormal and repetitive behaviours in cats and dogs.	CABI		CABI Digital Library	Sagi Denenberg; 	2021-01-07		10.1079/9781786394552.0015						Small animal veterinary psychiatry				Book	10.1079/9781786394552.0000		978-1-78639-456-9														Book_Segment	2021	Controlled	Regular	Total_Item_Investigations	1	1	0
Abnormal and repetitive behaviours in cats and dogs.	CABI		CABI Digital Library	Sagi Denenberg; 	2021-01-07		10.1079/9781786394552.0015						Small animal veterinary psychiatry				Book	10.1079/9781786394552.0000		978-1-78639-456-9														Book_Segment	2021	Controlled	Regular	Unique_Item_Requests	1	1	0
Allspice (Pimento)	CABI		CABI Digital Library		2023-09-26		10.1079/9781786393548.0003						Crop Pollination by Bees, Volume 2: Individual Crops and their Bees				Book	10.1079/9781786393548.0000		978-1-78639-353-1														Book_Segment	2023	Controlled	Regular	Unique_Item_Investigations	1	1	0
Allspice (Pimento)	CABI		CABI Digital Library		2023-09-26		10.1079/9781786393548.0003						Crop Pollination by Bees, Volume 2: Individual Crops and their Bees				Book	10.1079/9781786393548.0000		978-1-78639-353-1														Book_Segment	2023	Controlled	Regular	Total_Item_Requests	1	1	0
Allspice (Pimento)	CABI		CABI Digital Library		2023-09-26		10.1079/9781786393548.0003						Crop Pollination by Bees, Volume 2: Individual Crops and their Bees				Book	10.1079/9781786393548.0000		978-1-78639-353-1														Book_Segment	2023	Controlled	Regular	Total_Item_Investigations	1	1	0
Allspice (Pimento)	CABI		CABI Digital Library		2023-09-26		10.1079/9781786393548.0003						Crop Pollination by Bees, Volume 2: Individual Crops and their Bees				Book	10.1079/9781786393548.0000		978-1-78639-353-1														Book_Segment	2023	Controlled	Regular	Unique_Item_Requests	1	1	0
An introduction to ecotourism in Scandinavia.	CABI		CABI Digital Library	J. Hultman, S. Gössling; 	2006-08-04		10.1079/9781845931346.0001						Ecotourism in Scandinavia: lessons in theory and practice				Book	10.1079/9781845931346.0000		978-1-84593-137-7														Book_Segment	2006	Controlled	Regular	Unique_Item_Investigations	1	1	0
An introduction to ecotourism in Scandinavia.	CABI		CABI Digital Library	J. Hultman, S. Gössling; 	2006-08-04		10.1079/9781845931346.0001						Ecotourism in Scandinavia: lessons in theory and practice				Book	10.1079/9781845931346.0000		978-1-84593-137-7														Book_Segment	2006	Controlled	Regular	Total_Item_Requests	1	1	0
